user_name,count_tweet,pol,count_retweet,count_mentions,pol_tot
Uni�nGC Palencia,1,0.0,0,3,0.0
successfulling,2,0.0,0,2,0.0
Odi Montero,1,-0.48100000619888306,0,1,-0.48100000619888306
ile,1,0.31299999356269836,0,1,0.31299999356269836
Marina Villegas Mil�,1,0.0,0,1,0.0
leiluluk,2,0.0,0,2,0.0
zuberoa etxegarai,1,-0.20800000429153442,0,1,-0.20800000429153442
Cristian Moreno,1,-0.5,0,4,-2.0
Arnau F.,1,-0.25,0,1,-0.25
LluisRicart,1,-0.17200002074241638,0,2,-0.34400004148483276
??? ~?(??3?),3,0.2916666666666667,0,3,0.2916666666666667
aritz fano,1,0.0,0,1,0.0
elxuxo.com,2,0.13750000298023224,0,2,0.13750000298023224
Nolbun,1,0.0,0,2,0.0
wilson jose perez,3,0.016333341598510742,0,3,0.016333341598510742
Karolay,1,0.125,0,0,0.125
Zarama,1,-0.25,0,1,-0.25
Esteban Marco Zapata,1,0.0,0,2,0.0
Gristea.,1,0.08300000429153442,0,1,0.08300000429153442
G.E.G,3,-0.28733332951863605,0,1,-0.28733332951863605
Guillermo Alonso,1,0.25,0,1,0.25
Gontzal,3,-0.16666666666666666,0,3,-0.16666666666666666
Gerard Capdevila,3,-0.14566666881243387,0,3,-0.14566666881243387
Roberto Pineda,2,0.0,0,2,0.0
Alcalinus,1,-0.25,0,1,-0.25
Peter blum,1,0.375,0,0,0.375
david lavergne,1,0.0,0,1,0.0
Ardatx ||*||,2,-0.09799998998641968,0,3,-0.38349997997283936
Saray,2,-0.156499981880188,0,2,-0.156499981880188
MaiteSalgadoCaball�,1,0.0,0,1,0.0
Se�or Mansilla,1,-1.1039999723434448,0,1,-1.1039999723434448
Xitina Ferres,2,0.0,0,2,0.0
motheroforder,1,-1.2079999446868896,0,0,-1.2079999446868896
Lady?,2,-0.4165000021457672,0,2,-0.4165000021457672
galatea,1,0.0,0,2,0.0
MRBE01,1,0.125,0,1,0.125
Jmsa76,2,-0.125,0,2,-0.125
Liliana Atlante,1,0.0,0,0,0.0
SuperVen,1,0.0,0,1,0.0
Hair To The King,1,-0.25,0,1,-0.25
Javi Delgado,1,0.875,0,0,0.875
Color _Bakalito,1,0.0,0,1,0.0
ColorMagenta,1,-0.0520000159740448,0,1,-0.0520000159740448
?Hizma�?,1,0.875,0,1,0.875
Gerard �lvarez,3,-0.15499999125798544,0,3,-0.15499999125798544
Twitaso,5,-0.3294000029563904,0,7,-0.3210000038146973
Juanjo Salinas,1,-0.16600000858306885,0,2,-0.3320000171661377
Eduardo Pinto,1,-0.25,0,1,-0.25
Miguel Turullols,1,-0.20800000429153442,0,1,-0.20800000429153442
Ricard Garcia,1,0.25,0,1,0.25
Partido Porcular,1,0.0,0,1,0.0
Antivist Rae.,1,-0.004999995231628418,0,0,-0.004999995231628418
**��Blanca��**,2,-0.1875,0,2,-0.1875
Jose Ignacio,3,-0.32700000206629437,0,3,-0.32700000206629437
Alejandro Kosmatos,1,0.5099999904632568,1,1,0.5099999904632568
Rafael Escalona,2,1.4901161193847656E-8,0,2,1.4901161193847656E-8
Guofua,1,0.0,0,1,0.0
Nacho Hernandez,5,0.19539999961853027,0,5,0.19539999961853027
Dras,1,0.0,0,1,0.0
say anti-white,1,-0.31200000643730164,0,1,-0.31200000643730164
Angel Raposo,4,-0.1667499989271164,0,4,-0.1667499989271164
julio,2,0.3125,0,3,0.3125
Carp?,1,0.25,0,1,0.25
Oswaldo Chavero,1,-0.062000006437301636,0,1,-0.062000006437301636
mariano alfonso,3,-0.0693333347638448,0,3,-0.0693333347638448
Miss Cel�nea,1,-0.375,0,1,-0.375
? �armen ?,2,0.1875,0,2,0.1875
Sr.Rafiki,1,-0.48100000619888306,0,1,-0.48100000619888306
Miguel Ros�ss,1,0.562999963760376,0,1,0.562999963760376
